Näringsvärden per 100 gram livsmedel
Livsmedelsnamn;Livsmedelsnummer;Energi (kJ)(kJ);Energi (kcal)(kcal);Protein(g);Fett(g);Kolhydrater(g);Fibrer(g);Salt(g);Aska(g);Vatten(g);Alkohol(g);Monosackarider(g);Disackarider(g);Sackaros(g);Fullkorn totalt(g);Summa mättade fettsyror(g);Fettsyra 4:0-10:0(g);Fettsyra 12:0(g);Fettsyra 14:0(g);Fettsyra 16:0(g);Fettsyra 18:0(g);Fettsyra 20:0(g);Summa enkelomättade fettsyror(g);Fettsyra 16:1(g);Fettsyra 18:1(g);Summa fleromättade fettsyror(g);Summa n-6 fettsyror(g);Fettsyra 18:2(g);Fettsyra 20:4(g);Summa n-3 fettsyror(g);Fettsyra 18:3(g);Summa långa n-3 fettsyror(g);EPA (Fettsyra 20:5)(g);DPA (Fettsyra 22:5)(g);DHA (Fettsyra 22:6)(g);Summa transfettsyror(g);Kolesterol(mg);Vitamin A();Retinol(µg);beta-Karoten(µg);Vitamin D(µg);Vitamin E(mg);Vitamin K(µg);Tiamin(mg);Riboflavin(mg);Vitamin C(mg);Niacin(mg);Niacinekvivalenter();Vitamin B6(mg);Vitamin B12(µg);Fosfor(mg);Folat(µg);Jod(µg);Avfall (skal etc.)(%);Järn(mg);Kalcium(mg);Kalium(mg);Magnesium(mg);Natrium(mg);Selen(µg);Zink(mg);
Lime;572;198;47;0,7;0,2;10,3;0,5;0,0;0,3;88,0;0,0;0,6;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;1;0;6;0,00;0,2;;0,03;0,02;29;0,2;0,3;0,08;0,00;18;8;;16;0,60;33;102;9;2;0,2;0,10;
Lingon;573;237;57;0,7;0,5;11,0;2,5;0,0;0,3;85,0;0,0;8,5;0,2;0,2;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,1;0,3;;0,1;0,0;;0,2;;0,0;0,0;0,0;0,0;0,0;1;0;8;0,00;1,6;8;0,05;0,04;8;0,3;0,4;0,01;0,00;16;25;0;6;0,40;16;87;9;1;0,0;0,20;
Mango;574;288;69;0,5;0,3;15,0;1,7;0,0;0,5;82,0;0,0;6,4;4,1;4,1;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,1;0,1;0,1;0,1;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;196;0;2350;0,00;1,8;;0,06;0,06;28;0,6;0,7;0,13;0,00;11;36;;31;0,10;10;156;9;2;1,0;0,00;
Kokbanan;575;567;136;1,3;0,4;30,4;1,7;0,0;1,2;65,0;0,0;1,1;0,3;0,3;0;0,2;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,1;;0,1;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;57;0;680;0,00;0,6;;0,05;0,05;18;0,7;0,9;0,30;0,00;34;22;;35;0,60;3;500;37;4;0,5;0,10;
Nektarin;576;236;56;0,9;0,5;11,7;0,4;0,0;0,5;86,0;0,0;3,7;7,7;7,7;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,2;0,2;;0,2;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;4;0;49;0,00;1,8;;0,02;0,04;5;1,1;1,3;0,02;0,00;16;4;;9;0,20;5;210;8;0;0,2;0,10;
Papaya;577;179;43;0,6;0,1;8,8;1,9;0,0;0,6;88,0;0,0;4,8;4,4;4,4;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;87;0;1043;0,00;1,8;;0,03;0,03;62;0,3;0,4;0,02;0,00;5;10;;33;0,10;24;255;10;3;1,0;0,10;
Paradisäpplen;578;338;81;0,4;0,3;17,9;2,0;0,0;0,4;79,0;0,0;4,8;1,0;1,0;0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,1;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;2;0;24;0,00;0,6;;0,03;0,02;8;0,1;0,2;0,05;0,00;15;3;;8;0,40;18;194;7;1;1,0;0,00;
Passionsfrukt;579;316;76;2,2;0,7;7,4;15,9;0,1;0,8;73,0;0,0;3,1;3,1;3,1;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,1;0,0;0,1;0,4;;0,2;0,0;;0,2;;0,0;0,0;0,0;0,0;0,0;35;0;420;0,00;1,8;;0,00;0,13;30;1,5;1,9;0,02;0,00;68;10;;48;1,60;12;350;29;28;1,0;0,10;
Persika;580;179;43;0,7;0,1;8,6;2,1;0,0;0,5;88,0;0,0;2,7;5,1;5,1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;7;0;86;0,00;1,8;;0,02;0,04;8;1,0;1,1;0,02;0,00;12;4;0;24;0,50;5;197;11;3;0,4;0,10;
Sharon;581;321;77;0,6;0,2;16,9;2,0;0,0;0,3;80,0;0,0;15,0;1,0;1,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;108;0;1290;0,00;0,0;;0,03;0,02;8;0,1;0,2;0,02;0,00;17;8;;16;0,20;8;161;9;1;1,0;0,10;
Plommon;582;198;47;0,5;0,1;10,2;1,8;0,0;0,3;87,1;0,0;2,8;4,4;4,4;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;36;0;430;0,00;0,3;;0,01;0,02;10;0,3;0,4;0,04;0,00;14;1;0;6;0,15;8;154;10;0;0,2;0,10;
Päron;583;226;54;0,4;0,1;11,0;3,9;0,0;0,3;84,5;0,0;7,5;1,0;1,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;16;0,00;0,5;;0,01;0,02;5;0,1;0,2;0,04;0,00;11;6;;8;0,18;11;106;7;1;0,4;0,10;
Tranbär;584;192;46;0,4;0,2;8,9;3,3;0,0;0,2;87,0;0,0;3,4;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,1;0,0;;0,1;;0,0;0,0;0,0;0,0;0,0;2;0;22;0,00;1,6;;0,05;0,07;10;0,1;0,2;0,06;0,00;9;2;0;5;0,70;15;80;8;1;0,0;0,30;
Röda vinbär;585;203;49;1,2;0,2;8,7;3,4;0,0;0,5;86,0;0,0;7,3;0,2;0,2;0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;2;0;18;0,00;0,8;16;0,02;0,02;134;0,3;0,5;0,04;0,00;35;10;1;2;0,80;43;260;14;4;0,0;0,20;
Svarta vinbär;586;323;77;1,4;1,3;11,5;7,1;0,0;0,9;77,9;0,0;7,8;0,5;0,5;0;0,2;0,0;0,0;0,0;0,2;0,0;0,0;0,1;0,0;0,1;0,7;;0,4;0,0;;0,2;0,0;0,0;0,0;0,0;0,0;0,0;9;0;103;0,00;1,5;29;0,01;0,02;150;0,3;0,5;0,17;0,00;72;21;2;2;0,67;70;367;24;2;0,0;0,30;
Vindruvor;587;314;75;0,7;0,6;15,7;1,6;0,0;0,4;81,0;0,0;14,7;0,4;0,3;0;0,2;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,2;;0,1;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;3;0;33;0,00;0,4;;0,09;0,06;11;0,3;0,4;0,11;0,00;13;4;0;4;0,30;11;185;9;2;0,4;0,10;
Äpple m skal;588;232;56;0,3;0,1;12,4;1,8;0,0;0,3;85,1;0,0;7,7;3,1;3,1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;11;0,00;0,2;;0,01;0,02;12;0,1;0,2;0,03;0,00;10;2;0;8;0,14;4;109;5;1;0,0;0,00;
Äpple u skal;589;263;63;0,2;0,1;14,6;0,9;0,0;0,3;85,1;0,0;7,5;3,0;3,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;2;0;24;0,00;0,5;;0,02;0,01;8;0,1;0,1;0,05;0,00;10;0;;20;0,10;4;109;3;1;0,0;0,00;
Hallon frysta;590;157;38;1,0;0,5;5,4;3,7;0,0;0,4;89,0;0,0;2,7;0,7;0,7;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;;0,2;0,0;;0,2;;0,0;0,0;0,0;0,0;0,0;1;0;6;0,00;1,4;;0,02;0,05;25;0,5;0,7;0,03;0,00;30;26;;0;1,00;20;200;25;1;0,0;0,30;
Björnbär frysta;591;243;58;1,0;0,5;8,8;7,2;0,0;0,5;82,0;0,0;6,4;1,5;0,6;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;;0,2;0,0;;0,2;;0,0;0,0;0,0;0,0;0,0;6;0;66;0,00;0,6;;0,03;0,05;5;1,2;1,4;0,06;0,00;30;34;;0;0,40;20;160;22;1;0,0;0,30;
Björnbär sockrade frysta;592;288;69;1,0;0,5;12,0;6,0;0,0;0,5;80,0;0,0;4,2;7,8;7,8;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;;0,2;0,0;;0,2;;0,0;0,0;0,0;0,0;0,0;5;0;60;0,00;0,5;;0,03;0,05;10;1,1;1,3;0,06;0,00;27;26;;0;0,40;18;146;20;1;0,0;0,20;
Jordgubbar frysta;593;140;33;0,5;0,3;6,4;1,4;0,0;0,4;91,0;0,0;4,3;0,4;0,4;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,1;0,2;;0,1;0,0;;0,1;;0,0;0,0;0,0;0,0;0,0;2;0;18;0,00;0,0;;0,03;0,05;35;0,3;0,4;0,03;0,00;28;99;;0;0,50;21;190;15;2;0,0;0,20;
Hallon blåbär frysta;597;181;43;1,0;0,7;6,6;3,4;0,0;0,4;88,0;0,0;4,9;0,4;0,4;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,1;0,5;;0,2;0,0;;0,2;;0,0;0,0;0,0;0,0;0,0;5;0;50;0,00;0,8;13;0,04;0,06;18;0,4;0,6;0,08;0,00;24;28;1;1;0,85;25;118;17;2;0,0;0,25;
Apelsinskal;598;433;104;1,5;0,2;21,8;3,7;0,0;0,8;72,0;0,0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;21;0;250;0,00;0,0;;0,12;0,09;136;0,9;1,2;0,18;0,00;21;2;;0;0,80;161;210;22;3;0,2;0,00;
Aprikoser torkade;599;1024;245;3,6;0,5;49,9;12,0;0,0;3,0;31,0;0,0;12,6;29,5;29,5;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,2;0,1;;0,1;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;363;0;4350;0,00;6,2;;0,01;0,15;2;3,0;3,6;0,16;0,00;117;10;3;0;6,00;45;1380;41;10;0,5;0,70;
Banan torkad;600;1567;374;3,9;1,8;80,8;7,5;0,0;3,0;3,0;0,0;31,0;27,9;27,9;0;0,7;0,0;0,0;0,0;0,6;0,0;0,0;0,2;0,0;0,1;0,3;;0,2;0,0;;0,1;;0,0;0,0;0,0;0,0;0,0;16;0;186;0,00;0,0;;0,18;0,24;7;2,8;3,5;0,00;0,00;74;36;;0;1,20;22;1490;108;3;1,9;0,60;
Blåbär torkade;601;1382;330;4,6;1,0;69,8;10,0;0,0;1,6;13,0;0,0;36,6;9,3;9,3;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,1;0,6;;0,3;0,0;;0,4;;0,0;0,0;0,0;0,0;0,0;13;0;150;0,00;0,2;;0,02;0,10;3;1,5;2,3;0,20;0,00;120;12;;0;4,80;140;559;53;16;0,0;1,00;
Citronskal;602;269;64;1,5;0,3;11,9;3,7;0,0;0,6;82,0;0,0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,1;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;3;0;30;0,00;0,0;;0,06;0,08;129;0,4;0,7;0,17;0,00;12;2;;0;0,80;134;160;15;6;2,0;0,00;
Dadlar torkade;603;1253;299;2,0;0,4;68,0;6,0;0,0;1,6;22,0;0,0;48,8;20,5;20,5;0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,1;0,2;;0,2;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;3;0;30;0,00;0,3;;0,09;0,10;0;2,2;2,5;0,19;0,00;40;13;2;10;1,30;32;650;35;3;3,0;0,30;
Fikon torkade;604;1238;296;3,6;1,2;57,9;18,5;0,0;2,0;16,8;0,0;58,0;1,9;1,9;0;0,2;0,0;0,0;0,0;0,2;0,1;0,0;0,3;0,0;0,3;0,6;;0,6;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;7;0;78;0,00;0,3;;0,07;0,09;0;0,7;1,3;0,22;0,00;68;8;4;1;2,20;144;710;59;11;2,3;0,50;
Katrinplommon 32,5 % vatten;605;1049;251;2,6;0,5;53,9;8,7;0,0;1,8;32,5;0,0;29,0;8,6;8,6;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,2;;0,2;0,0;;0,1;;0,0;0,0;0,0;0,0;0,0;12;0;140;0,00;2,3;;0,08;0,16;3;2,0;2,4;0,26;0,00;79;4;1;0;2,00;51;740;52;4;0,5;0,50;
Nypon u frön torkade;606;1374;328;3,7;1,4;68,4;12,0;0,0;5,4;9,1;0,0;55,0;6,0;6,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;583;0;7000;0,00;0,0;;0,05;0,30;270;1,5;2,1;0,00;0,00;123;2;1;0;4,20;310;1600;240;8;0,5;0,60;
Nyponsoppa pulver berik;607;1608;384;0,7;0,2;91,1;5,0;0,1;1,2;1,8;0,0;3,0;68,0;68,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;48;0;580;0,00;0,0;;0,01;0,24;190;0,3;0,4;0,00;0,00;35;0;;0;1,30;155;469;39;32;0,4;0,10;
Persikor torkade;608;1056;252;3,6;0,8;52,9;8,2;0,0;2,5;32,0;0,0;12,8;38,0;38,0;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,2;0,0;0,2;0,3;;0,3;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;108;0;1290;0,00;0,5;;0,00;0,20;5;4,4;5,0;0,07;0,00;119;14;;0;4,10;28;1000;42;7;0,5;0,60;
Päron torkade;609;1180;282;1,9;0,6;63,4;6,0;0,0;1,1;27,0;0,0;31,3;11,0;11,0;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,1;0,0;0,1;0,3;;0,2;0,0;;0,1;;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;0,4;;0,01;0,14;7;1,4;1,7;0,07;0,00;59;13;;0;2,10;34;530;33;6;1,0;0,40;
Russin;610;1330;318;3,2;0,5;69,4;9,7;0,0;1,8;15,4;0,0;58,0;1,5;1,5;0;0,2;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,2;;0,1;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;1;0;6;0,00;0,2;;0,16;0,09;3;0,8;1,3;0,25;0,00;97;3;2;0;2,40;49;750;30;12;0,5;0,30;
Äpplen torkade;611;1075;257;0,9;0,3;57,2;9,5;0,2;1,1;31,0;0,0;44,0;13,2;13,2;0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,1;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;1;0;12;0,00;0,2;;0,00;0,16;4;0,9;1,1;0,12;0,00;38;1;;0;0,10;14;450;16;87;0,2;0,20;
Frukt torkad;612;1112;266;3,3;0,5;56,8;9,0;0,1;2,4;28,0;0,0;34,0;8,1;8,1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,2;0,1;;0,1;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;122;0;1460;0,00;0,3;;0,04;0,16;4;1,9;2,5;0,16;0,00;79;7;;0;4,00;45;880;39;34;0,5;0,50;
Papaya torkad;613;1099;263;3,4;0,6;57,6;5,0;0,0;3,4;30,0;0,0;27,2;25,0;25,0;0;0,2;0,0;0,0;0,0;0,1;0,0;0,0;0,2;0,1;0,1;0,2;;0,0;0,0;;0,1;;0,0;0,0;0,0;0,0;0,0;567;0;6800;0,00;0,5;;0,18;0,17;219;1,4;1,9;0,11;0,00;28;3;;0;0,60;135;1439;56;17;1,0;0,40;
Ananas konserv m juice;614;260;62;0,4;0,1;14,2;1,0;0,0;0,3;84,0;0,0;6,2;8,5;8,5;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;2;0;24;0,00;0,0;;0,10;0,02;10;0,3;0,4;0,08;0,00;6;5;;0;0,30;14;122;14;1;0,2;0,10;
Ananas konserv m medelsöt lag;617;362;87;0,4;0,1;20,2;1,0;0,0;0,3;78,0;0,0;3,7;16,3;16,3;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;1;0;6;0,00;0,0;;0,09;0,02;7;0,3;0,4;0,07;0,00;7;5;1;0;0,30;14;104;17;1;0,2;0,10;
Aprikoser konserv m juice;618;217;52;0,6;0,0;11,4;1,6;0,0;0,4;86,0;0,0;2,5;5,8;5,8;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;47;0;560;0,00;2,0;;0,02;0,02;5;0,3;0,4;0,05;0,00;20;2;;0;0,30;12;165;10;4;0,2;0,10;
Aprikoser konserv m medelsöt lag;619;494;118;0,5;0,1;27,7;1,3;0,0;0,4;70,0;0,0;2,5;16,0;16,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;62;0;740;0,00;0,9;;0,02;0,02;3;0,4;0,5;0,05;0,00;12;2;0;0;0,40;9;140;9;4;0,2;0,30;
Fikon konserv m medelsöt lag;622;382;91;0,4;0,1;20,7;2,5;0,0;0,3;76,0;0,0;3,7;16,5;16,5;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,1;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;2;0;24;0,00;0,0;;0,02;0,04;1;0,4;0,5;0,02;0,00;10;2;;0;0,30;27;99;10;1;1,0;0,10;
Kiwi konserv u lag;623;339;81;0,8;0,4;16,5;3,8;0,0;0,5;78,0;0,0;13,3;1,5;1,5;0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,1;0,2;;0,2;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;9;0;108;0,00;0,1;;0,01;0,03;42;0,3;0,4;0,03;0,00;22;30;;0;0,30;30;125;30;1;1,0;0,00;
Röda körsbär surkörsbär konserv m medelsöt lag;624;393;94;0,7;0,1;21,5;1,5;0,0;0,2;76,0;0,0;3,7;16,5;16,5;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;36;0;426;0,00;0,0;;0,02;0,04;2;0,2;0,3;0,04;0,00;10;8;;8;1,30;10;93;6;7;0,0;0,10;
Persikor konserv m medelsöt lag;625;348;83;0,4;0,1;19,5;0,8;0,0;0,2;79,0;0,0;7,4;9,2;7,8;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;8;0;100;0,00;0,4;;0,01;0,02;3;0,6;0,7;0,02;0,00;11;3;2;0;0,30;3;92;6;6;0,3;0,30;
Plommon konserv m medelsöt lag;626;393;94;0,4;0,1;21,8;1,5;0,1;0,2;76,0;0,0;8,5;10,6;9,2;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;13;0;156;0,00;0,4;;0,02;0,04;5;0,3;0,4;0,03;0,00;13;2;;5;0,80;9;91;5;19;0,1;0,10;
Päron konserv m lättsöt lag;627;253;61;0,2;0,0;13,8;1,9;0,0;0,1;84,0;0,0;5,6;3,5;3,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;0,2;;0,01;0,02;1;0,2;0,2;0,01;0,00;7;1;;0;0,30;5;66;4;5;0,2;0,10;
Päron konserv m medelsöt lag;628;322;77;0,2;0,1;17,6;1,9;0,0;0,2;80,0;0,0;7,1;8,8;7,7;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;0,2;;0,01;0,02;1;0,2;0,2;0,01;0,00;7;1;1;0;0,10;5;65;4;5;0,2;0,10;
Äpplen konserv;629;290;69;0,2;0,5;14,9;1,8;0,0;0,2;82,4;0,0;3,0;12,0;12,0;0;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,2;;0,1;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;3;0;30;0,00;0,1;;0,09;0,01;0;0,0;0,0;0,03;0,00;5;1;;0;0,20;4;112;2;4;0,0;0,00;
Grapefrukt konserv m lättsöt lag;630;265;63;0,6;0,1;14,6;0,4;0,0;0,3;84,0;0,0;13,6;1,9;1,9;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;0;0;0;0,00;0,2;;0,04;0,02;22;0,2;0,3;0,02;0,00;10;8;;0;0,40;14;129;10;2;0,2;0,10;
Fruktcocktail konserv m medelsöt lag;632;340;81;0,4;0,0;18,9;1,5;0,0;0,2;79,0;0,0;16,4;2,8;2,8;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;10;0;120;0,00;0,4;;0,02;0,02;2;0,4;0,5;0,05;0,00;11;3;;0;0,30;6;88;5;6;1,0;0,10;
Mandarin konserv m lättsöt lag;633;272;65;0,4;0,1;14,6;1,7;0,0;0,2;83,0;0,0;8,6;5,9;5,9;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;42;0;500;0,00;0,1;;0,05;0,04;20;0,4;0,5;0,02;0,00;10;3;;0;0,40;7;78;8;6;0,2;0,20;
Mango konserv m medelsöt lag;634;413;99;0,3;0,1;23,3;1,0;0,0;0,3;75,0;0,0;15,8;4,4;4,4;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;17;0;198;0,00;0,9;;0,01;0,02;10;0,6;0,7;0,02;0,00;10;18;;0;0,10;10;100;7;3;1,0;0,00;
Apelsinsallad;635;454;108;1,5;4,6;14,2;1,9;0,2;0,7;77,0;0,0;7,3;5,0;4,9;0;0,6;0,0;0,0;0,0;0,5;0,1;0,0;3,2;0,0;3,1;0,5;0,2;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3;0;40;0,00;1,1;1;0,10;0,04;44;0,3;0,6;0,06;0,00;38;29;12;26;0,42;39;188;15;95;0,3;0,16;
Frukt bär konserv osötad el m sötmedel u energi;637;146;35;0,4;0,1;7,6;0,8;0,0;0,3;90,8;0,0;5,7;1,7;1,7;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;8;0;96;0,00;0,1;;0,03;0,05;4;0,3;0,4;0,07;0,00;9;3;;0;0,20;7;105;7;2;0,1;0,00;
Fruktsallad;638;247;59;0,6;0,2;12,3;2,2;0,0;0,5;84,1;0,0;6,8;3,3;3,3;0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,1;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2;0;25;0,00;0,4;0;0,04;0,04;31;0,3;0,4;0,12;0,00;17;22;0;19;0,24;18;184;15;2;0,4;0,09;
Apelsinjuice färskpressad;641;200;48;0,7;0,2;10,6;0,1;0,0;0,4;88,0;0,0;4,8;0,7;0,7;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;10;0;120;0,00;0,2;;0,09;0,03;50;0,4;0,5;0,04;0,00;17;30;;0;0,20;11;200;11;1;0,2;0,10;
Apelsinjuice konc;642;690;165;2,4;0,2;37,5;0,5;0,0;1,4;58,0;0,0;14,0;18,0;18,0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;;0,0;14;0;168;0,00;1,0;;0,28;0,06;138;0,7;1,1;0,16;0,00;57;155;;0;0,40;32;670;34;3;0,5;0,20;
Citronjuice färskpressad;645;148;35;0,4;0,0;8,3;0,0;0,0;0,3;91,0;0,0;1,4;0,2;0,2;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;1;0;12;0,00;0,0;;0,03;0,01;46;0,1;0,2;0,05;0,00;6;13;1;0;0,40;7;124;7;1;1,8;0,10;
Citronjuice konc konserv;646;134;32;0,4;0,3;6,8;0,1;0,1;0,4;92,0;0,0;1,4;0,1;0,1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;;0,1;0,0;;0,0;;0,0;0,0;0,0;0,0;0,0;1;0;12;0,00;0,1;;0,04;0,01;25;0,2;0,3;0,04;0,00;9;10;;0;0,10;11;102;8;21;1,8;0,10;
